team,match,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,match_id
Australia, Vs ,Mitchell Starc,10,0,55,3,5.5,30,4,1,3,0,ODI # 4705
Australia, Vs ,Josh Hazlewood,10,0,60,2,6,22,4,1,1,0,ODI # 4705
Australia, Vs ,Glenn Maxwell,6,0,35,1,5.83,19,4,1,0,0,ODI # 4705
Australia, Vs ,Pat Cummins,10,0,34,2,3.4,30,0,0,2,0,ODI # 4705
Australia, Vs ,Adam Zampa,10,0,44,1,4.4,22,1,0,1,0,ODI # 4705
Australia, Vs ,Mitchell Marsh,2,0,5,0,2.5,7,0,0,0,0,ODI # 4705
Australia, Vs ,Travis Head,2,0,4,0,2,8,0,0,0,0,ODI # 4705
India, Vs ,Jasprit Bumrah,9,2,43,2,4.77,37,8,0,0,0,ODI # 4705
India, Vs ,Mohammed Shami,7,1,47,1,6.71,28,6,1,3,0,ODI # 4705
India, Vs ,Ravindra Jadeja,10,0,43,0,4.3,29,1,1,1,0,ODI # 4705
India, Vs ,Kuldeep Yadav,10,0,56,0,5.6,25,3,2,0,0,ODI # 4705
India, Vs ,Mohammed Siraj,7,0,45,1,6.42,16,4,1,0,0,ODI # 4705
Australia, Vs ,Mitchell Starc,10,1,34,3,3.4,46,3,1,4,0,ODI # 4704
Australia, Vs ,Josh Hazlewood,8,3,12,2,1.5,39,1,0,0,0,ODI # 4704
Australia, Vs ,Pat Cummins,9.4,0,51,3,5.27,32,5,1,2,0,ODI # 4704
Australia, Vs ,Adam Zampa,7,0,55,0,7.85,21,1,6,0,0,ODI # 4704
Australia, Vs ,Glenn Maxwell,10,0,35,0,3.5,35,3,0,0,0,ODI # 4704
Australia, Vs ,Travis Head,5,0,21,2,4.2,19,3,0,1,0,ODI # 4704
South Africa, Vs ,Marco Jansen,4.2,0,35,0,8.07,18,6,1,4,0,ODI # 4704
South Africa, Vs ,Kagiso Rabada,6,0,41,1,6.83,24,2,4,1,1,ODI # 4704
South Africa, Vs ,Aiden Markram,8,1,23,1,2.87,34,1,1,1,0,ODI # 4704
South Africa, Vs ,Gerald Coetzee,9,0,47,2,5.22,35,8,0,1,1,ODI # 4704
South Africa, Vs ,Tabraiz Shamsi,10,0,42,2,4.2,36,3,0,5,0,ODI # 4704
South Africa, Vs ,Keshav Maharaj,10,0,24,1,2.4,39,1,0,0,0,ODI # 4704
Netherlands, Vs ,Aryan Dutt,10,0,67,2,6.7,30,5,3,1,1,ODI # 4697
Netherlands, Vs ,Logan van Beek,10,0,88,2,8.8,25,10,1,10,0,ODI # 4697
Netherlands, Vs ,Paul van Meekeren,10,0,57,1,5.7,28,5,0,5,0,ODI # 4697
Netherlands, Vs ,Bas de Leede,10,0,74,3,7.4,26,5,4,0,0,ODI # 4697
Netherlands, Vs ,Roelof van der Merwe,3,0,22,0,7.33,6,0,2,0,0,ODI # 4697
Netherlands, Vs ,Colin Ackermann,7,0,31,0,4.42,15,1,0,0,0,ODI # 4697
England, Vs ,Chris Woakes,7,0,19,1,2.71,33,2,0,2,0,ODI # 4697
England, Vs ,David Willey,7,2,19,2,2.71,33,3,0,0,0,ODI # 4697
England, Vs ,Gus Atkinson,7,0,41,0,5.85,25,4,2,1,0,ODI # 4697
England, Vs ,Moeen Ali,8.2,0,42,3,5.04,23,1,2,0,0,ODI # 4697
England, Vs ,Adil Rashid,8,0,54,3,6.75,22,5,2,1,0,ODI # 4697
New Zealand, Vs ,Trent Boult,10,0,86,1,8.6,26,9,4,2,0,ODI # 4703
New Zealand, Vs ,Tim Southee,10,0,100,3,10,20,8,6,1,0,ODI # 4703
New Zealand, Vs ,Mitchell Santner,10,1,51,0,5.1,29,3,2,0,0,ODI # 4703
New Zealand, Vs ,Lockie Ferguson,8,0,65,0,8.12,15,7,1,1,0,ODI # 4703
New Zealand, Vs ,Rachin Ravindra,7,0,60,0,8.57,13,2,4,2,0,ODI # 4703
New Zealand, Vs ,Glenn Phillips,5,0,33,0,6.6,11,1,2,0,0,ODI # 4703
India, Vs ,Jasprit Bumrah,10,1,64,1,6.4,32,6,1,6,0,ODI # 4703
India, Vs ,Mohammed Siraj,9,0,78,1,8.66,26,10,3,3,0,ODI # 4703
India, Vs ,Mohammed Shami,9.5,0,57,7,5.79,37,3,4,2,0,ODI # 4703
India, Vs ,Ravindra Jadeja,10,0,63,0,6.3,29,3,3,0,1,ODI # 4703
India, Vs ,Kuldeep Yadav,10,0,56,1,5.6,26,6,0,0,0,ODI # 4703
New Zealand, Vs ,Trent Boult,10,3,37,3,3.7,45,6,0,3,0,ODI # 4698
New Zealand, Vs ,Tim Southee,8,0,52,1,6.5,29,6,3,0,0,ODI # 4698
New Zealand, Vs ,Lockie Ferguson,10,2,35,2,3.5,43,6,0,0,0,ODI # 4698
New Zealand, Vs ,Mitchell Santner,10,2,22,2,2.2,45,2,0,0,0,ODI # 4698
New Zealand, Vs ,Rachin Ravindra,7.4,0,21,2,2.73,28,1,0,0,0,ODI # 4698
New Zealand, Vs ,Glenn Phillips,1,0,3,0,3,3,0,0,0,0,ODI # 4698
Sri Lanka, Vs ,Dilshan Madushanka,6.2,0,58,0,9.15,16,11,0,1,0,ODI # 4698
Sri Lanka, Vs ,Maheesh Theekshana,7,0,43,1,6.14,24,6,1,0,0,ODI # 4698
Sri Lanka, Vs ,Dhananjaya de Silva,2,0,22,0,11,3,1,2,0,0,ODI # 4698
Sri Lanka, Vs ,Dushmantha Chameera,4,1,20,1,5,17,1,2,0,0,ODI # 4698
Sri Lanka, Vs ,Angelo Mathews,4,0,29,2,7.25,10,4,0,1,0,ODI # 4698
